[0:1, 0:2, 10:11, 1:3, 2:4, 3:5, 4:6, 5:7, 6:8, 7:9, 8:10]
[0:1, 0:11, 0:2, 1:3, 2:4, 3:5, 4:6, 5:7, 6:8, 7:9, 8:10, 9:10]
[0:1, 0:10, 0:2, 1:11, 1:3, 2:4, 3:5, 4:6, 5:7, 6:8, 7:9, 8:9]
[0:1, 0:10, 0:2, 1:3, 2:4, 3:11, 3:5, 4:6, 5:7, 6:8, 7:9, 8:9]
[0:1, 0:10, 0:2, 1:3, 2:4, 3:5, 4:6, 5:11, 5:7, 6:8, 7:9, 8:9]
[0:1, 0:10, 0:2, 1:3, 2:4, 3:5, 4:6, 5:7, 6:8, 7:11, 7:9, 8:9]
[0:1, 0:10, 0:2, 1:3, 2:4, 3:5, 4:6, 5:7, 6:8, 7:9, 8:9, 9:11]
[0:1, 0:10, 0:2, 10:11, 1:3, 2:4, 3:5, 4:6, 5:7, 6:8, 7:9, 8:9]
[0:1, 0:2, 0:9, 1:10, 1:3, 2:11, 2:4, 3:5, 4:6, 5:7, 6:8, 7:8]
[0:1, 0:2, 0:9, 1:10, 1:3, 2:4, 3:5, 4:11, 4:6, 5:7, 6:8, 7:8]
[0:1, 0:2, 0:9, 1:10, 1:3, 2:4, 3:5, 4:6, 5:7, 6:11, 6:8, 7:8]
[0:1, 0:2, 0:9, 1:10, 1:3, 2:4, 3:5, 4:6, 5:7, 6:8, 7:8, 8:11]
[0:1, 0:2, 0:9, 10:11, 1:10, 1:3, 2:4, 3:5, 4:6, 5:7, 6:8, 7:8]
[0:1, 0:2, 0:9, 1:3, 2:4, 3:10, 3:5, 4:11, 4:6, 5:7, 6:8, 7:8]
[0:1, 0:2, 0:9, 1:3, 2:4, 3:10, 3:5, 4:6, 5:7, 6:11, 6:8, 7:8]
[0:1, 0:2, 0:9, 10:11, 1:3, 2:4, 3:10, 3:5, 4:6, 5:7, 6:8, 7:8]
[0:1, 0:2, 0:9, 1:3, 2:4, 3:5, 4:6, 5:10, 5:7, 6:11, 6:8, 7:8]
[0:1, 0:2, 0:9, 10:11, 1:3, 2:4, 3:5, 4:6, 5:10, 5:7, 6:8, 7:8]
[0:1, 0:2, 0:9, 10:11, 1:3, 2:4, 3:5, 4:6, 5:7, 6:8, 7:10, 7:8]
[0:1, 0:2, 0:9, 1:3, 2:4, 3:5, 4:6, 5:7, 6:8, 7:8, 9:10, 9:11]
