initial 0	[0:1, 0:2, 0:3, 0:4, 0:5]
166	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 0:4, 1:2, 1:4]
167	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 0:4, 1:2, 1:4, 0:3]
168	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 0:4, 1:2, 1:4, 0:3, 0:5]
169	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 0:4, 1:2, 1:4, 2:6]
170	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 0:4, 0:3]
171	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 0:4, 0:3, 0:5]
172	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6]
173	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4]
174	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 0:3]
175	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 0:3, 0:5]
176	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 0:6]
177	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 0:6, 0:5]
178	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 0:6, 0:5, 3:5]
179	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 0:6, 0:5, 3:5, 0:3]
180	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 0:6, 0:3]
181	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 0:6, 0:3, 3:5]
182	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 3:5]
183	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 3:5, 0:3]
184	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 3:5, 0:5]
185	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 3:5, 0:5, 0:3]
186	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5]
187	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 3:5]
188	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 3:5, 0:3]
189	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 3:5, 0:5]
190	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 3:5, 0:5, 0:3]
191	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 2:5]
192	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 3:6, 0:4, 1:5, 2:5, 0:3]
