initial 0	[0:1, 0:2, 0:3, 0:4, 0:5]
686	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:6, 0:6, 4:5]
687	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:6, 0:6, 4:5, 0:5]
688	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 1:6]
689	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 2:6]
690	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 2:6, 0:5]
691	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 2:6, 0:5, 1:6]
692	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 2:6, 0:5, 1:6, 0:6]
693	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 2:6, 0:5, 0:6]
694	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 2:5]
695	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:5]
696	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:5, 3:5]
697	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:5, 3:5, 2:5]
698	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 2:6]
699	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 2:6, 2:5]
700	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 4:6]
701	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 1:6]
initial 21	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 1:3, 3:5]
702	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 1:3, 3:5, 5:6]
703	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 1:3, 3:5, 3:6]
704	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 1:3, 3:5, 0:6]
705	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 1:3, 3:5, 0:6, 3:6]
initial 22	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 1:3, 1:5]
706	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 1:3, 1:5, 1:6]
707	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 1:3, 1:5, 5:6]
708	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 1:3, 1:5, 5:6, 3:6]
initial 23	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5]
709	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 5:6]
710	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 5:6, 4:5]
711	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 5:6, 4:6]
712	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 5:6, 1:3]
713	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 5:6, 1:3, 4:5]
714	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 5:6, 1:3, 4:5, 2:5]
715	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 5:6, 1:3, 4:5, 2:5, 2:6]
716	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 0:6]
717	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 0:6, 1:3]
718	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 4:6]
719	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 1:3, 1:6]
720	[0:1, 0:2, 1:2, 0:3, 3:4, 1:4, 2:3, 0:4, 2:4, 0:5, 1:3, 1:6, 1:5]
initial 24	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5]
721	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6]
722	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 4:6]
723	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 2:4]
724	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 2:4, 1:4]
725	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 2:4, 2:3]
726	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 2:4, 2:3, 0:6]
727	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 2:4, 2:3, 3:5]
728	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 2:4, 2:3, 4:6]
729	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 2:4, 2:3, 4:6, 3:5]
730	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 2:4, 2:3, 4:6, 3:5, 1:4]
731	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 2:4, 2:3, 4:6, 2:6]
732	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6]
733	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 0:5]
734	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 0:5, 4:6]
735	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 0:5, 4:6, 3:5]
736	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 0:5, 3:5]
737	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 0:5, 3:5, 2:5]
738	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 0:5, 3:5, 2:5, 1:3]
739	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 0:5, 3:5, 2:5, 1:3, 1:5]
740	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 0:5, 3:5, 2:5, 1:3, 1:5, 2:3]
741	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6]
742	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5]
743	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 0:5]
744	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 0:5, 2:6]
745	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 0:5, 3:5]
746	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 0:5, 3:5, 1:3]
747	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 0:5, 3:5, 1:3, 1:5]
748	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 0:5, 3:5, 1:3, 1:5, 2:3]
749	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 0:5, 3:5, 1:5]
750	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 3:5]
751	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 3:5, 1:5]
752	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 3:5, 1:4]
753	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 3:5, 1:4, 1:5]
754	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 4:6, 2:5, 3:5, 1:4, 1:5, 0:5]
755	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 3:5]
756	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 5:6, 3:6, 3:5, 1:5]
757	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 4:6]
758	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 4:6, 1:4]
759	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 4:6, 1:4, 2:4]
760	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 0:6]
761	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 0:6, 1:3]
762	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 0:6, 1:3, 1:6]
763	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:4, 0:6]
764	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:4, 0:6, 1:3]
765	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:4, 0:6, 0:4]
766	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:4, 0:6, 0:4, 1:3]
767	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:4, 0:6, 2:5]
768	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:4, 0:6, 2:5, 1:3]
769	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:4, 0:6, 4:6]
770	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:4, 0:6, 4:6, 0:4]
771	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:4, 0:6, 4:6, 2:4]
772	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:4, 0:6, 4:6, 2:4, 0:5]
773	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:4, 0:6, 4:6, 2:5]
774	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:5, 2:3, 3:5, 1:3, 1:6]
775	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:4, 1:3, 4:6]
776	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:4, 1:3, 4:6, 3:5]
777	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:4, 1:3, 3:6]
778	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:4, 1:3, 3:6, 3:5]
779	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:4, 1:3, 0:6]
780	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 1:4, 1:3, 0:6, 3:6]
781	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6]
782	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 1:5]
783	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 5:6]
784	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 5:6, 2:4]
785	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 5:6, 2:4, 1:5]
786	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 5:6, 2:4, 1:5, 0:4]
787	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 5:6, 2:4, 1:5, 0:4, 2:3]
788	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 5:6, 2:4, 1:5, 1:3]
789	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 2:4]
790	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 2:4, 0:5]
791	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 2:4, 0:5, 2:5]
792	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 2:4, 1:5]
793	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 2:4, 1:5, 1:3]
794	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 2:4, 1:5, 0:5]
795	[0:1, 0:2, 1:2, 0:3, 3:4, 4:5, 3:5, 1:6, 2:4, 1:5, 0:5, 1:3]
initial 25	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5]
796	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6]
797	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 0:5]
798	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 0:5, 4:6]
799	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 0:5, 4:6, 5:6]
800	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 0:5, 4:6, 5:6, 0:6]
801	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 0:5, 4:6, 0:6]
802	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 0:5, 4:6, 2:6]
803	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 0:5, 4:6, 2:6, 1:6]
804	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 0:5, 4:6, 2:6, 1:6, 0:6]
805	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 0:5, 4:6, 2:6, 1:6, 0:6, 5:6]
806	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 0:5, 4:6, 2:6, 1:6, 5:6]
807	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 0:5, 0:6]
808	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5]
809	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 0:5]
810	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 0:5, 5:6]
811	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 1:5]
812	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 1:5, 2:5]
813	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 1:5, 2:5, 0:5]
814	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 1:5, 2:5, 2:4]
815	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 1:5, 2:5, 2:4, 1:4]
816	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 1:5, 2:5, 2:4, 1:4, 1:3]
817	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 1:5, 0:5]
818	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 1:5, 0:5, 5:6]
819	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6]
820	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 1:6]
821	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 1:6, 0:6]
822	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 1:6, 0:6, 5:6]
823	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 0:6]
824	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 0:6, 2:5]
825	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 0:6, 2:5, 5:6]
826	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 0:6, 2:5, 5:6, 1:5]
827	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 0:6, 2:5, 5:6, 0:5]
828	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 0:6, 2:5, 0:5]
829	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 0:6, 5:6]
830	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 0:6, 0:5]
831	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 2:5]
832	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 2:5, 2:3]
833	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 3:6, 3:5, 2:6, 2:5, 2:3, 3:4]
834	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 0:5, 5:6]
835	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6]
836	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 0:6]
837	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 0:6, 0:5]
838	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 3:6]
839	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 3:6, 3:5]
840	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 3:6, 3:5, 2:6]
841	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 3:6, 3:5, 2:6, 1:6]
842	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 3:6, 3:5, 2:6, 2:5]
843	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 3:6, 3:5, 2:6, 1:5]
844	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 3:6, 3:5, 2:6, 1:5, 2:3]
845	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 3:6, 3:5, 2:6, 1:5, 2:3, 0:5]
846	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 3:6, 3:5, 2:6, 1:5, 2:3, 0:5, 1:6]
847	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 3:6, 3:5, 2:6, 1:5, 0:5]
848	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 5:6, 3:6, 3:5, 2:5]
849	[0:1, 0:2, 1:2, 0:3, 0:4, 4:5, 4:6]
initial 26	[0:1, 0:2, 1:2, 0:3, 0:4, 0:5]
850	[0:1, 0:2, 1:2, 0:3, 0:4, 0:5, 5:6]
851	[0:1, 0:2, 1:2, 0:3, 0:4, 0:5, 5:6, 0:6]
852	[0:1, 0:2, 1:2, 0:3, 0:4, 0:5, 0:6]
